,ARI,AMI,Homogenity,Completeness,V-measure,Silhouette,
K-means,-0.0084,-0.0063,0.0001,0.0001,0.0001,0.2033,
MiniBatchKMeans,-0.0085,-0.0054,0.0010,0.0011,0.0010,0.2172,
GaussianMixture,0.0677,0.1058,0.1039,0.1213,0.1119,0.1911,
BayesianGaussianMixture,0.0339,0.0844,0.0807,0.1043,0.0910,0.2101,
AgglomerativeClustering,-0.0015,0.0085,0.0143,0.0161,0.0152,0.2144,
SpectralClustering,-0.0077,-0.0029,0.0036,0.0039,0.0037,0.1755,
DBSCAN,-0.0103,0.0285,0.0260,0.0713,0.0381,0.4014,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,K-means,MiniBatchKMeans,GaussianMixture,BayesianGaussianMixture,AgglomerativeClustering,SpectralClustering,DBSCAN
ARI,-0.0084,-0.0085,0.0677,0.0339,-0.0015,-0.0077,-0.0103
AMI,-0.0063,-0.0054,0.1058,0.0844,0.0085,-0.0029,0.0285
Homogenity,0.0001,0.0010,0.1039,0.0807,0.0143,0.0036,0.0260
Completeness,0.0001,0.0011,0.1213,0.1043,0.0161,0.0039,0.0713
V-measure,0.0001,0.0010,0.1119,0.0910,0.0152,0.0037,0.0381
Silhouette,0.2033,0.2172,0.1911,0.2101,0.2144,0.1755,0.4014
